2026-07-03 07:07:33 DEBUG    app.processing.classifier — Classification terminée [name=Low-Back Bodysuit | family=Bodysuit | subfamily=None | compression=Forte | zones=['Dos', 'Poitrine']]
2026-07-03 07:07:33 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/cloudembrace-bra.json | availability=out_of_stock]
2026-07-03 07:07:33 INFO     app.scraping.engine — Crawl catégorie [brand=honeylove | category=underwear]
2026-07-03 07:07:33 DEBUG    app.workflow.runner — Enrichissement [product=Low-Back Bodysuit | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:33 DEBUG    app.processing.classifier — Classification terminée [name=CloudEmbrace Bra | family=Bra | subfamily=Wireless Bra | compression=Moyenne | zones=['Dos']]
2026-07-03 07:07:33 DEBUG    app.scraping.pagination — Page générée [type=offset | page=1 | url=https://honeylove.com/collections/underwear/products.json?page=1&limit=250]
2026-07-03 07:07:33 DEBUG    app.workflow.runner — Enrichissement [product=CloudEmbrace Bra | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:35 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/open-bust-mid-thigh-bodysuit.json | status=200 | duration_ms=168 | attempt=1]
2026-07-03 07:07:35 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/open-bust-mid-thigh-bodysuit.json | availability=out_of_stock]
2026-07-03 07:07:35 DEBUG    app.processing.classifier — Classification terminée [name=Open-Bust Mid-Thigh Bodysuit | family=Bodysuit | subfamily=Open Bust Bodysuit | compression=Forte | zones=['Cuisses', 'Dos', 'Poitrine']]
2026-07-03 07:07:35 DEBUG    app.workflow.runner — Enrichissement [product=Open-Bust Mid-Thigh Bodysuit | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:36 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/cami-bodysuit-petite.json | status=200 | duration_ms=220 | attempt=1]
2026-07-03 07:07:36 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/cami-bodysuit-petite.json | availability=out_of_stock]
2026-07-03 07:07:36 DEBUG    app.processing.classifier — Classification terminée [name=Cami Bodysuit (Petite) | family=Bodysuit | subfamily=None | compression=Moyenne | zones=['Dos', 'Poitrine']]
2026-07-03 07:07:36 DEBUG    app.workflow.runner — Enrichissement [product=Cami Bodysuit (Petite) | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:36 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/collections/underwear/products.json?page=1&limit=250 | status=200 | duration_ms=368 | attempt=1]
2026-07-03 07:07:36 INFO     app.scraping.shopify_connector_mixin — URLs honeylove [category=underwear | count=20]
2026-07-03 07:07:37 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/meshsculpt-mid-waist-brief.json | status=200 | duration_ms=189 | attempt=1]
2026-07-03 07:07:37 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/meshsculpt-mid-waist-brief.json | availability=in_stock]
2026-07-03 07:07:37 DEBUG    app.processing.classifier — Produit non classifié — révision manuelle [name=MeshSculpt Mid-Waist Brief | category_raw=Shapewear]
2026-07-03 07:07:37 DEBUG    app.processing.classifier — Classification terminée [name=MeshSculpt Mid-Waist Brief | family=None | subfamily=None | compression=Forte | zones=['Taille', 'Dos', 'Fesses']]
2026-07-03 07:07:38 DEBUG    app.workflow.runner — Enrichissement [product=MeshSculpt Mid-Waist Brief | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:38 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/liftwear-tank-bodysuit.json | status=200 | duration_ms=161 | attempt=1]
2026-07-03 07:07:38 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/liftwear-tank-bodysuit.json | availability=out_of_stock]
2026-07-03 07:07:39 DEBUG    app.processing.classifier — Classification terminée [name=Tank Bodysuit | family=Bodysuit | subfamily=None | compression=Forte | zones=['Ventre', 'Dos']]
2026-07-03 07:07:39 DEBUG    app.workflow.runner — Enrichissement [product=Tank Bodysuit | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:39 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/silhouette-brief.json | status=200 | duration_ms=165 | attempt=1]
2026-07-03 07:07:39 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/silhouette-brief.json | availability=in_stock]
2026-07-03 07:07:39 DEBUG    app.processing.classifier — Classification terminée [name=Silhouette Brief | family=Panty | subfamily=High-Waist Panty | compression=Légère | zones=['Taille']]
2026-07-03 07:07:39 DEBUG    app.workflow.runner — Enrichissement [product=Silhouette Brief | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:39 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/lace-crossover-brief.json | status=200 | duration_ms=225 | attempt=1]
2026-07-03 07:07:39 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/lace-crossover-brief.json | availability=in_stock]
2026-07-03 07:07:39 DEBUG    app.processing.classifier — Classification terminée [name=CrossOver Lace Brief | family=Panty | subfamily=None | compression=Moyenne | zones=['Ventre']]
2026-07-03 07:07:39 DEBUG    app.workflow.runner — Enrichissement [product=CrossOver Lace Brief | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:41 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/liftwear-tank-bodysuit-us.json | status=200 | duration_ms=211 | attempt=1]
2026-07-03 07:07:41 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/liftwear-tank-bodysuit-us.json | availability=in_stock]
2026-07-03 07:07:41 INFO     app.scraping.engine — Crawl catégorie [brand=honeylove | category=leggings]
2026-07-03 07:07:41 DEBUG    app.processing.classifier — Classification terminée [name=Tank Bodysuit | family=Bodysuit | subfamily=None | compression=Forte | zones=['Ventre', 'Dos']]
2026-07-03 07:07:41 DEBUG    app.workflow.runner — Enrichissement [product=Tank Bodysuit | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:41 DEBUG    app.scraping.pagination — Page générée [type=offset | page=1 | url=https://honeylove.com/collections/leggings/products.json?page=1&limit=250]
2026-07-03 07:07:43 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/silhouette-thong.json | status=200 | duration_ms=200 | attempt=1]
2026-07-03 07:07:43 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/silhouette-thong.json | availability=in_stock]
2026-07-03 07:07:43 DEBUG    app.processing.classifier — Classification terminée [name=Silhouette Thong | family=Panty | subfamily=Thong | compression=Moyenne | zones=['Taille']]
2026-07-03 07:07:43 DEBUG    app.workflow.runner — Enrichissement [product=Silhouette Thong | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:43 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/collections/leggings/products.json?page=1&limit=250 | status=200 | duration_ms=187 | attempt=1]
